MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,100,0,0,0,0
1,100,100,0,0,0,0
2,100,99,1,0,0,0
3,100,100,0,0,0,0
4,100,98,2,0,0,0
5,100,98,2,0,0,0
6,100,97,3,0,0,0
7,100,98,2,0,0,0
8,100,97,3,0,0,0
9,100,95,5,0,0,0
10,100,94,6,0,0,0
11,100,95,5,0,0,0
12,100,95,5,0,0,0
13,100,95,5,0,0,0
14,100,94,6,0,0,0
15,100,95,5,0,0,0
16,100,95,5,0,0,0
17,100,95,5,0,0,0
18,100,94,6,0,0,0
19,100,94,6,0,0,0
20,100,94,6,0,0,0
21,100,95,5,0,0,0
22,100,94,6,0,0,0
23,100,94,5,1,0,0
24,100,94,5,1,0,0
25,100,94,5,1,0,0
26,100,94,5,1,0,0
27,100,94,5,1,0,0
28,100,93,6,1,0,0
29,100,91,8,1,0,0
30,100,91,8,1,0,0
31,100,91,8,1,0,0
32,100,91,8,1,0,0
33,100,91,8,1,0,0
34,100,91,8,1,0,0
35,100,90,9,1,0,0
36,100,89,10,1,0,0
37,100,89,10,1,0,0
38,100,91,8,1,0,0
39,100,91,9,0,0,0
40,100,91,8,1,0,0
41,100,89,10,1,0,0
42,100,89,10,1,0,0
43,100,88,11,1,0,0
44,100,87,12,1,0,0
45,100,87,12,1,0,0
46,100,87,12,1,0,0
47,100,87,12,1,0,0
48,100,87,12,1,0,0
49,100,87,12,1,0,0
50,100,88,12,0,0,0
51,100,87,13,0,0,0
52,100,87,13,0,0,0
53,100,87,13,0,0,0
54,100,87,13,0,0,0
55,100,87,13,0,0,0
56,100,89,11,0,0,0
57,100,89,11,0,0,0
58,100,88,12,0,0,0
59,100,86,12,1,1,0
60,100,86,12,1,1,0
61,100,87,10,2,1,0
62,100,87,10,2,1,0
63,100,88,10,1,1,0
64,100,88,10,1,1,0
65,100,87,11,1,1,0
66,100,86,12,1,1,0
67,100,85,13,1,1,0
68,100,84,14,1,1,0
69,100,84,14,1,1,0
70,100,84,14,1,1,0
71,100,84,14,1,1,0
72,100,83,15,1,1,0
73,100,83,15,1,1,0
74,100,84,15,1,0,0
75,100,86,14,0,0,0
76,101,86,14,0,0,1
77,101,85,15,1,0,0
78,101,85,15,1,0,0
79,101,85,15,1,0,0
80,102,86,15,0,0,1
81,102,86,16,0,0,0
82,102,86,16,0,0,0
83,103,86,16,0,0,1
84,103,87,16,0,0,0
85,103,87,16,0,0,0
86,103,88,15,0,0,0
87,103,88,15,0,0,0
88,103,88,15,0,0,0
89,103,88,15,0,0,0
90,103,88,15,0,0,0
91,103,89,14,0,0,0
92,103,90,13,0,0,0
93,103,90,13,0,0,0
94,103,90,13,0,0,0
95,103,90,13,0,0,0
96,103,90,13,0,0,0
97,103,90,13,0,0,0
98,103,90,13,0,0,0
99,103,90,13,0,0,0
100,103,89,14,0,0,0
101,103,89,14,0,0,0
102,103,89,14,0,0,0
103,103,89,13,1,0,0
104,103,89,13,1,0,0
105,103,89,13,1,0,0
106,103,89,13,1,0,0
107,103,87,15,1,0,0
108,103,87,15,1,0,0
109,103,87,14,2,0,0
110,103,87,14,2,0,0
111,103,86,15,2,0,0
112,103,87,14,2,0,0
113,103,87,14,2,0,0
114,103,88,13,2,0,0
115,103,89,13,1,0,0
116,103,89,12,1,1,0
117,103,89,12,1,1,0
118,103,89,12,1,1,0
119,103,88,12,1,2,0
120,103,88,12,1,2,0
121,103,88,12,1,2,0
122,103,88,12,1,2,0
123,103,86,12,2,3,0
